event_id,event_type,source_location,sensor_id,time_step,particle_count,freeman_tukey
1,GloveBreach,1,0,0,0,1.0
1,GloveBreach,1,0,1,3,3.732050807568877
1,GloveBreach,1,0,2,3,3.732050807568877
1,GloveBreach,1,0,3,2,3.1462643699419726
1,GloveBreach,1,0,4,1,2.414213562373095
1,GloveBreach,1,0,5,3,3.732050807568877
1,GloveBreach,1,0,6,3,3.732050807568877
1,GloveBreach,1,0,7,1,2.414213562373095
1,GloveBreach,1,0,8,1,2.414213562373095
1,GloveBreach,1,0,9,3,3.732050807568877
1,GloveBreach,1,0,10,1,2.414213562373095
1,GloveBreach,1,0,11,0,1.0
1,GloveBreach,1,0,12,1,2.414213562373095
1,GloveBreach,1,0,13,4,4.23606797749979
1,GloveBreach,1,0,14,9,6.16227766016838
1,GloveBreach,1,0,15,6,5.095241053847769
1,GloveBreach,1,0,16,11,6.780726405493154
1,GloveBreach,1,0,17,6,5.095241053847769
1,GloveBreach,1,0,18,7,5.4741784358107815
1,GloveBreach,1,0,19,3,3.732050807568877
1,GloveBreach,1,0,20,7,5.4741784358107815
1,GloveBreach,1,0,21,4,4.23606797749979
1,GloveBreach,1,0,22,9,6.16227766016838
1,GloveBreach,1,0,23,5,4.685557720282968
1,GloveBreach,1,0,24,7,5.4741784358107815
1,GloveBreach,1,0,25,3,3.732050807568877
1,GloveBreach,1,0,26,2,3.1462643699419726
1,GloveBreach,1,0,27,5,4.685557720282968
1,GloveBreach,1,0,28,4,4.23606797749979
1,GloveBreach,1,0,29,5,4.685557720282968
1,GloveBreach,1,0,30,2,3.1462643699419726
1,GloveBreach,1,0,31,4,4.23606797749979
1,GloveBreach,1,0,32,5,4.685557720282968
1,GloveBreach,1,0,33,2,3.1462643699419726
1,GloveBreach,1,0,34,4,4.23606797749979
1,GloveBreach,1,0,35,3,3.732050807568877
1,GloveBreach,1,0,36,2,3.1462643699419726
1,GloveBreach,1,0,37,7,5.4741784358107815
1,GloveBreach,1,0,38,3,3.732050807568877
1,GloveBreach,1,0,39,3,3.732050807568877
1,GloveBreach,1,0,40,2,3.1462643699419726
1,GloveBreach,1,0,41,3,3.732050807568877
1,GloveBreach,1,0,42,4,4.23606797749979
1,GloveBreach,1,0,43,0,1.0
1,GloveBreach,1,0,44,1,2.414213562373095
1,GloveBreach,1,0,45,1,2.414213562373095
1,GloveBreach,1,0,46,3,3.732050807568877
1,GloveBreach,1,0,47,3,3.732050807568877
1,GloveBreach,1,0,48,2,3.1462643699419726
1,GloveBreach,1,0,49,2,3.1462643699419726
1,GloveBreach,1,0,50,3,3.732050807568877
1,GloveBreach,1,0,51,2,3.1462643699419726
1,GloveBreach,1,0,52,1,2.414213562373095
1,GloveBreach,1,0,53,6,5.095241053847769
1,GloveBreach,1,0,54,0,1.0
1,GloveBreach,1,0,55,3,3.732050807568877
1,GloveBreach,1,0,56,3,3.732050807568877
1,GloveBreach,1,0,57,2,3.1462643699419726
1,GloveBreach,1,0,58,2,3.1462643699419726
1,GloveBreach,1,0,59,3,3.732050807568877
1,GloveBreach,1,1,0,0,1.0
1,GloveBreach,1,1,1,1,2.414213562373095
1,GloveBreach,1,1,2,2,3.1462643699419726
1,GloveBreach,1,1,3,1,2.414213562373095
1,GloveBreach,1,1,4,1,2.414213562373095
1,GloveBreach,1,1,5,0,1.0
1,GloveBreach,1,1,6,0,1.0
1,GloveBreach,1,1,7,0,1.0
1,GloveBreach,1,1,8,1,2.414213562373095
1,GloveBreach,1,1,9,3,3.732050807568877
1,GloveBreach,1,1,10,3,3.732050807568877
1,GloveBreach,1,1,11,1,2.414213562373095
1,GloveBreach,1,1,12,1,2.414213562373095
1,GloveBreach,1,1,13,1,2.414213562373095
1,GloveBreach,1,1,14,20,9.054711649955419
1,GloveBreach,1,1,15,24,9.898979485566356
1,GloveBreach,1,1,16,20,9.054711649955419
1,GloveBreach,1,1,17,11,6.780726405493154
1,GloveBreach,1,1,18,15,7.872983346207417
1,GloveBreach,1,1,19,13,7.3472086622379305
1,GloveBreach,1,1,20,14,7.614640732981359
1,GloveBreach,1,1,21,7,5.4741784358107815
1,GloveBreach,1,1,22,10,6.47890245052378
1,GloveBreach,1,1,23,15,7.872983346207417
1,GloveBreach,1,1,24,9,6.16227766016838
1,GloveBreach,1,1,25,12,7.069652890601743
1,GloveBreach,1,1,26,10,6.47890245052378
1,GloveBreach,1,1,27,9,6.16227766016838
1,GloveBreach,1,1,28,6,5.095241053847769
1,GloveBreach,1,1,29,11,6.780726405493154
1,GloveBreach,1,1,30,3,3.732050807568877
1,GloveBreach,1,1,31,7,5.4741784358107815
1,GloveBreach,1,1,32,8,5.82842712474619
1,GloveBreach,1,1,33,2,3.1462643699419726
1,GloveBreach,1,1,34,5,4.685557720282968
1,GloveBreach,1,1,35,0,1.0
1,GloveBreach,1,1,36,3,3.732050807568877
1,GloveBreach,1,1,37,5,4.685557720282968
1,GloveBreach,1,1,38,2,3.1462643699419726
1,GloveBreach,1,1,39,3,3.732050807568877
1,GloveBreach,1,1,40,3,3.732050807568877
1,GloveBreach,1,1,41,4,4.23606797749979
1,GloveBreach,1,1,42,1,2.414213562373095
1,GloveBreach,1,1,43,3,3.732050807568877
1,GloveBreach,1,1,44,4,4.23606797749979
1,GloveBreach,1,1,45,3,3.732050807568877
1,GloveBreach,1,1,46,4,4.23606797749979
1,GloveBreach,1,1,47,3,3.732050807568877
1,GloveBreach,1,1,48,1,2.414213562373095
1,GloveBreach,1,1,49,2,3.1462643699419726
1,GloveBreach,1,1,50,3,3.732050807568877
1,GloveBreach,1,1,51,2,3.1462643699419726
1,GloveBreach,1,1,52,2,3.1462643699419726
1,GloveBreach,1,1,53,4,4.23606797749979
1,GloveBreach,1,1,54,3,3.732050807568877
1,GloveBreach,1,1,55,3,3.732050807568877
1,GloveBreach,1,1,56,5,4.685557720282968
1,GloveBreach,1,1,57,2,3.1462643699419726
1,GloveBreach,1,1,58,0,1.0
1,GloveBreach,1,1,59,1,2.414213562373095
1,GloveBreach,1,2,0,1,2.414213562373095
1,GloveBreach,1,2,1,1,2.414213562373095
1,GloveBreach,1,2,2,1,2.414213562373095
1,GloveBreach,1,2,3,3,3.732050807568877
1,GloveBreach,1,2,4,1,2.414213562373095
1,GloveBreach,1,2,5,4,4.23606797749979
1,GloveBreach,1,2,6,3,3.732050807568877
1,GloveBreach,1,2,7,0,1.0
1,GloveBreach,1,2,8,1,2.414213562373095
1,GloveBreach,1,2,9,1,2.414213562373095
1,GloveBreach,1,2,10,5,4.685557720282968
1,GloveBreach,1,2,11,2,3.1462643699419726
1,GloveBreach,1,2,12,3,3.732050807568877
1,GloveBreach,1,2,13,2,3.1462643699419726
1,GloveBreach,1,2,14,8,5.82842712474619
1,GloveBreach,1,2,15,10,6.47890245052378
1,GloveBreach,1,2,16,14,7.614640732981359
1,GloveBreach,1,2,17,6,5.095241053847769
1,GloveBreach,1,2,18,5,4.685557720282968
1,GloveBreach,1,2,19,15,7.872983346207417
1,GloveBreach,1,2,20,7,5.4741784358107815
1,GloveBreach,1,2,21,10,6.47890245052378
1,GloveBreach,1,2,22,3,3.732050807568877
1,GloveBreach,1,2,23,7,5.4741784358107815
1,GloveBreach,1,2,24,3,3.732050807568877
1,GloveBreach,1,2,25,3,3.732050807568877
1,GloveBreach,1,2,26,6,5.095241053847769
1,GloveBreach,1,2,27,4,4.23606797749979
1,GloveBreach,1,2,28,3,3.732050807568877
1,GloveBreach,1,2,29,3,3.732050807568877
1,GloveBreach,1,2,30,7,5.4741784358107815
1,GloveBreach,1,2,31,1,2.414213562373095
1,GloveBreach,1,2,32,1,2.414213562373095
1,GloveBreach,1,2,33,4,4.23606797749979
1,GloveBreach,1,2,34,4,4.23606797749979
1,GloveBreach,1,2,35,5,4.685557720282968
1,GloveBreach,1,2,36,2,3.1462643699419726
1,GloveBreach,1,2,37,2,3.1462643699419726
1,GloveBreach,1,2,38,6,5.095241053847769
1,GloveBreach,1,2,39,4,4.23606797749979
1,GloveBreach,1,2,40,1,2.414213562373095
1,GloveBreach,1,2,41,3,3.732050807568877
1,GloveBreach,1,2,42,2,3.1462643699419726
1,GloveBreach,1,2,43,1,2.414213562373095
1,GloveBreach,1,2,44,2,3.1462643699419726
1,GloveBreach,1,2,45,0,1.0
1,GloveBreach,1,2,46,1,2.414213562373095
1,GloveBreach,1,2,47,0,1.0
1,GloveBreach,1,2,48,2,3.1462643699419726
1,GloveBreach,1,2,49,2,3.1462643699419726
1,GloveBreach,1,2,50,0,1.0
1,GloveBreach,1,2,51,1,2.414213562373095
